"k","alpha","omega","stabilite"
2,0,0,0.92852577701879
3,0,0,0.846607743577541
4,0,0,0.86162012469262
5,0,0,0.796055739999285
6,0,0,0.691007075601059
2,0.5,0,0.97139493819894
3,0.5,0,0.885622023170612
4,0.5,0,0.869492117196696
5,0.5,0,0.776807494623778
6,0.5,0,0.700821828974801
2,1,0,0.928506574175144
3,1,0,0.844033488044534
4,1,0,0.919779261095967
5,1,0,0.728227107988947
6,1,0,0.706254158147616
2,0,0.5,0.554205400554249
3,0,0.5,0.917201385591265
4,0,0.5,0.823991862065904
5,0,0.5,0.862129010075092
6,0,0.5,0.741443540222823
2,0.5,0.5,0.98569746909947
3,0.5,0.5,0.788093689372905
4,0.5,0.5,0.83916185038621
5,0.5,0.5,0.792455931509002
6,0.5,0.5,0.686098366576153
2,1,0.5,0.836933146263136
3,1,0.5,0.908862820603908
4,1,0.5,0.772594337600494
5,1,0.5,0.754956681137428
6,1,0.5,0.840703050055314
2,0,1,0.867097809362959
3,0,1,0.845165386383441
4,0,1,0.588192619530714
5,0,1,0.577789376133942
6,0,1,0.569417663320813
2,0.5,1,0.892101851009872
3,0.5,1,0.818541876142504
4,0.5,1,0.853815394506435
5,0.5,1,0.682731926974641
6,0.5,1,0.652356178165809
2,1,1,0.900986179462098
3,1,1,0.869901530517164
4,1,1,0.748730679921852
5,1,1,0.636261878578768
6,1,1,0.640348233015878
