"scenario","method","ari_mean","silhouette_mean","rank_ari"
"S1","C_DK_ancien",0.937881616471529,0.175850659233873,1
"S1","DK_reconstruit",0.896615775232513,0.159500042655067,2
"S1","B_silopt",0.87329276731996,0.350683208333523,3
"S1","D1",0.87329276731996,0.350683208333523,4
"S1","Df_silopt",0.87329276731996,0.350683208333523,5
"S1","D0",0.829536247887986,0.290408852391897,6
"S1","A",0.78196580783399,0.162788125701364,7
"S1","Ds",0.567368697393458,0.143955701411782,8
"S2","C_DK_ancien",0.886672403661609,0.147193675244988,1
"S2","B_silopt",0.87329276731996,0.350683208333523,2
"S2","D1",0.87329276731996,0.350683208333523,3
"S2","Df_silopt",0.87329276731996,0.350683208333523,4
"S2","D0",0.829536247887986,0.290408852391897,5
"S2","DK_reconstruit",0.801763558710441,0.129544427630665,6
"S2","A",0.524363529559747,0.124633909758559,7
"S2","Ds",0.332736225708132,0.105144726434234,8
"S3","A",0.623403995890649,0.138684610936287,1
"S3","Ds",0.510848188046989,0.126884658264181,2
"S3","C_DK_ancien",0.461170146343454,0.0943483038387409,3
"S3","DK_reconstruit",0.432710739990745,0.0968282605554988,4
"S3","D1",0.377911728184081,0.16400651411067,5
"S3","B_silopt",0.238365761190485,0.224297343724813,6
"S3","Df_silopt",0.236845723527511,0.224252964966483,7
"S3","D0",0.225604798717499,0.221903465968516,8
"S4","D1",0.377911728184081,0.16400651411067,1
"S4","C_DK_ancien",0.317439119505709,0.0850400957279161,2
"S4","A",0.315100094888237,0.111034302401734,3
"S4","DK_reconstruit",0.301307753298673,0.087806012381466,4
"S4","Ds",0.246983902022134,0.0877762614306806,5
"S4","B_silopt",0.236845723527511,0.224252964966483,6
"S4","Df_silopt",0.236845723527511,0.224252964966483,7
"S4","D0",0.225604798717499,0.221903465968516,8
